win,lose,probability
Utah Jazz,Phoenix Suns,0.78801323167
San Antonio Spurs,Atlanta Hawks,0.520797823581
Indiana Pacers,Orlando Magic,0.758940187656
Toronto Raptors,Los Angeles Lakers,0.802782869753
Miami Heat,Detroit Pistons,0.740410873028
Portland Trail Blazers,Minnesota Timberwolves,0.606395535696
Utah Jazz,Brooklyn Nets,0.685894377063
Chicago Bulls,Charlotte Hornets,0.535847418876
Cleveland Cavaliers,New Orleans Pelicans,0.927126090614
Golden State Warriors,Denver Nuggets,0.935791482722
Houston Rockets,Washington Wizards,0.658143549654
Los Angeles Clippers,Phoenix Suns,0.856176439239
Oklahoma City Thunder,Milwaukee Bucks,0.712476262564
New York Knicks,Orlando Magic,0.525589224808
Boston Celtics,Utah Jazz,0.683541191482
Dallas Mavericks,Washington Wizards,0.624147306233
Denver Nuggets,Sacramento Kings,0.628386474471
Detroit Pistons,Indiana Pacers,0.614812982146
Memphis Grizzlies,Los Angeles Lakers,0.564198352513
Minnesota Timberwolves,Philadelphia 76ers,0.667371403339
Miami Heat,Phoenix Suns,0.717933838257
San Antonio Spurs,Toronto Raptors,0.724343370995
Oklahoma City Thunder,Charlotte Hornets,0.500614947032
Cleveland Cavaliers,Chicago Bulls,0.837758174986
Golden State Warriors,Portland Trail Blazers,0.784332171105
Los Angeles Clippers,Memphis Grizzlies,0.798424070109
